episode,start,end,hours
1,2024-12-23T02:20,2024-12-23T16:00,13.67
2,2024-12-24T08:00,2024-12-25T11:00,27.0
3,2024-12-26T08:00,2025-01-03T20:30,204.5
4,2025-01-15T09:00,2025-01-18T10:10,73.17
5,2025-01-22T14:30,2025-01-23T04:30,14.0
6,2025-01-24T23:28,2025-01-25T12:36,13.13
7,2025-01-27T18:41,2025-01-28T10:41,16.0
8,2025-02-03T21:52,2025-02-04T19:23,21.52
9,2025-02-11T10:16,2025-02-12T08:43,22.45
10,2025-02-19T20:22,2025-02-20T09:18,12.93
11,2025-02-25T18:26,2025-02-26T07:06,12.67
12,2025-03-04T07:30,2025-03-05T10:37,27.12
13,2025-03-11T02:36,2025-03-11T15:13,12.62
14,2025-03-19T09:26,2025-03-20T13:49,28.38
15,2025-03-25T12:04,2025-03-26T19:10,31.1
16,2025-03-31T22:57,2025-04-02T12:04,37.12
17,2025-04-07T22:15,2025-04-09T09:45,35.5
18,2025-04-22T03:30,2025-04-22T13:28,9.97
19,2025-05-01T21:28,2025-05-02T05:20,7.87
20,2025-05-06T17:28,2025-05-06T21:28,4.0
21,2025-05-11T12:45,2025-05-11T20:36,7.85
22,2025-05-16T05:13,2025-05-16T15:29,10.27
23,2025-05-25T16:15,2025-05-25T22:25,6.17
24,2025-06-04T20:55,2025-06-05T04:28,7.55
25,2025-06-11T11:57,2025-06-11T20:08,8.18
26,2025-06-20T01:40,2025-06-20T10:25,8.75
27,2025-06-29T09:05,2025-06-29T19:54,10.82
28,2025-07-09T04:10,2025-07-09T13:20,9.17
29,2025-07-20T05:15,2025-07-20T18:35,13.33
30,2025-08-06T01:20,2025-08-06T12:55,11.58
31,2025-08-22T14:04,2025-08-23T02:52,12.8
32,2025-09-02T06:35,2025-09-02T20:01,13.43
33,2025-09-19T03:11,2025-09-19T12:08,8.95
34,2025-10-01T00:53,2025-10-01T07:03,6.17
35,2025-10-17T20:05,2025-10-18T03:32,7.45
36,2025-11-09T11:15,2025-11-09T16:16,5.02
