rank,name,state,region,zori_2019,zori_2022,zori_2026,surge_pct,since_peak_pct,total_pct
1,"New York, NY",NY,Northeast,2448.2,2918.1,3258.4,19.2,11.7,33.1
2,"Los Angeles, CA",CA,West,2246.3,2702.5,2884.1,20.3,6.7,28.4
3,"Chicago, IL",IL,Midwest,1542.8,1802.1,2132.3,16.8,18.3,38.2
4,"Dallas, TX",TX,South,1283.3,1661.7,1630.4,29.5,-1.9,27.0
5,"Houston, TX",TX,South,1327.0,1575.5,1619.5,18.7,2.8,22.0
6,"Washington, DC",VA,South,1875.7,2165.5,2331.4,15.5,7.7,24.3
7,"Philadelphia, PA",PA,Northeast,1382.7,1670.1,1858.8,20.8,11.3,34.4
8,"Miami, FL",FL,South,1729.3,2529.3,2654.1,46.3,4.9,53.5
9,"Atlanta, GA",GA,South,1305.8,1771.2,1808.0,35.6,2.1,38.5
10,"Boston, MA",MA,Northeast,2381.4,2758.4,3097.7,15.8,12.3,30.1
11,"Phoenix, AZ",AZ,West,1261.0,1754.7,1723.9,39.1,-1.8,36.7
12,"San Francisco, CA",CA,West,2711.4,2859.6,3103.0,5.5,8.5,14.4
13,"Riverside, CA",CA,West,1671.9,2300.2,2478.0,37.6,7.7,48.2
14,"Detroit, MI",MI,Midwest,1028.5,1318.7,1461.4,28.2,10.8,42.1
15,"Seattle, WA",WA,West,1735.0,2089.9,2181.3,20.5,4.4,25.7
16,"Minneapolis, MN",MN,Midwest,1358.5,1515.2,1664.4,11.5,9.8,22.5
17,"San Diego, CA",CA,West,2030.1,2703.5,2871.4,33.2,6.2,41.4
18,"Tampa, FL",FL,South,1313.4,1909.0,1975.9,45.3,3.5,50.4
19,"Denver, CO",CO,West,1541.6,1868.6,1843.7,21.2,-1.3,19.6
20,"Baltimore, MD",MD,South,1400.5,1697.4,1857.1,21.2,9.4,32.6
21,"St. Louis, MO",MO,Midwest,971.2,1211.8,1395.2,24.8,15.1,43.7
22,"Orlando, FL",FL,South,1401.5,1910.9,1922.4,36.3,0.6,37.2
23,"Charlotte, NC",NC,South,1258.3,1666.0,1715.8,32.4,3.0,36.4
24,"San Antonio, TX",TX,South,1183.9,1457.2,1391.8,23.1,-4.5,17.6
25,"Portland, OR",OR,West,1420.8,1742.8,1778.7,22.7,2.1,25.2
29,"Austin, TX",TX,South,1366.0,1781.7,1563.2,30.4,-12.3,14.4
